,name,ground truth,slide_id
0,S-2006-005094_PAS_1of2_64552732435c92704a3d37ca.png,0,S-2006-005094_PAS_1of2.svs
1,S-2006-005094_PAS_1of2_64552732435c92704a3d37cc.png,0,S-2006-005094_PAS_1of2.svs
2,S-2006-005094_PAS_1of2_64552732435c92704a3d37cd.png,0,S-2006-005094_PAS_1of2.svs
3,S-2006-005094_PAS_1of2_64552732435c92704a3d37ce.png,0,S-2006-005094_PAS_1of2.svs
4,S-2006-005094_PAS_1of2_64552732435c92704a3d37d0.png,0,S-2006-005094_PAS_1of2.svs
5,S-2006-005094_PAS_1of2_64552732435c92704a3d37d1.png,0,S-2006-005094_PAS_1of2.svs
6,S-2006-005094_PAS_1of2_64552732435c92704a3d37d2.png,0,S-2006-005094_PAS_1of2.svs
7,S-2006-005094_PAS_1of2_64552732435c92704a3d37d4.png,0,S-2006-005094_PAS_1of2.svs
8,S-2006-005094_PAS_1of2_64552732435c92704a3d37d5.png,0,S-2006-005094_PAS_1of2.svs
9,S-2006-005094_PAS_1of2_64552732435c92704a3d37d6.png,0,S-2006-005094_PAS_1of2.svs
10,S-2006-005094_PAS_1of2_64552732435c92704a3d37d7.png,0,S-2006-005094_PAS_1of2.svs
11,S-2006-005094_PAS_1of2_64552732435c92704a3d37d8.png,0,S-2006-005094_PAS_1of2.svs
12,S-2006-005094_PAS_1of2_64552732435c92704a3d37d9.png,0,S-2006-005094_PAS_1of2.svs
13,S-2006-005094_PAS_1of2_64552732435c92704a3d37da.png,0,S-2006-005094_PAS_1of2.svs
14,S-2006-005094_PAS_1of2_64552732435c92704a3d37dc.png,0,S-2006-005094_PAS_1of2.svs
15,S-2006-005094_PAS_1of2_64552732435c92704a3d37de.png,0,S-2006-005094_PAS_1of2.svs
16,S-2006-005094_PAS_1of2_64552732435c92704a3d37df.png,0,S-2006-005094_PAS_1of2.svs
17,S-2006-005094_PAS_1of2_64552732435c92704a3d37e0.png,0,S-2006-005094_PAS_1of2.svs
18,S-2006-005094_PAS_1of2_64552732435c92704a3d37e1.png,0,S-2006-005094_PAS_1of2.svs
19,S-2006-005094_PAS_1of2_64552732435c92704a3d37e2.png,0,S-2006-005094_PAS_1of2.svs
20,S-2006-005094_PAS_1of2_64552732435c92704a3d37e3.png,0,S-2006-005094_PAS_1of2.svs
21,S-2006-005094_PAS_1of2_64552732435c92704a3d37e4.png,0,S-2006-005094_PAS_1of2.svs
22,S-2006-005094_PAS_1of2_64552733435c92704a3d37e8.png,1,S-2006-005094_PAS_1of2.svs
23,S-2006-005094_PAS_1of2_64552733435c92704a3d37e9.png,1,S-2006-005094_PAS_1of2.svs
24,S-2006-005094_PAS_1of2_64552733435c92704a3d37ea.png,1,S-2006-005094_PAS_1of2.svs
25,S-2006-005094_PAS_1of2_64552733435c92704a3d37eb.png,1,S-2006-005094_PAS_1of2.svs
26,S-2006-005094_PAS_1of2_64552733435c92704a3d37ec.png,1,S-2006-005094_PAS_1of2.svs
27,S-2006-005094_PAS_1of2_64552733435c92704a3d37ed.png,1,S-2006-005094_PAS_1of2.svs
28,S-2006-005094_PAS_1of2_64552733435c92704a3d37ee.png,1,S-2006-005094_PAS_1of2.svs
29,S-2006-005094_PAS_1of2_64552733435c92704a3d37ef.png,1,S-2006-005094_PAS_1of2.svs
30,S-2006-005094_PAS_1of2_64552733435c92704a3d37f1.png,1,S-2006-005094_PAS_1of2.svs
31,S-2006-005094_PAS_1of2_64552733435c92704a3d37f3.png,1,S-2006-005094_PAS_1of2.svs
32,S-2006-005094_PAS_1of2_64552733435c92704a3d37f4.png,1,S-2006-005094_PAS_1of2.svs
33,S-2006-005094_PAS_1of2_64552733435c92704a3d37f5.png,1,S-2006-005094_PAS_1of2.svs
34,S-2006-005094_PAS_1of2_64552733435c92704a3d37f7.png,1,S-2006-005094_PAS_1of2.svs
35,S-2006-005094_PAS_1of2_64552733435c92704a3d37f8.png,1,S-2006-005094_PAS_1of2.svs
36,S-2006-005094_PAS_1of2_64552733435c92704a3d37f9.png,1,S-2006-005094_PAS_1of2.svs
37,S-2006-005094_PAS_1of2_64552733435c92704a3d37fa.png,1,S-2006-005094_PAS_1of2.svs
38,S-2006-005094_PAS_1of2_64552733435c92704a3d37fb.png,1,S-2006-005094_PAS_1of2.svs
39,S-2006-005094_PAS_1of2_64552733435c92704a3d37fc.png,1,S-2006-005094_PAS_1of2.svs
40,S-2006-005094_PAS_1of2_64552733435c92704a3d37fd.png,1,S-2006-005094_PAS_1of2.svs
41,S-2006-005094_PAS_1of2_64552733435c92704a3d3800.png,1,S-2006-005094_PAS_1of2.svs
42,S-2006-005094_PAS_1of2_64552733435c92704a3d3801.png,1,S-2006-005094_PAS_1of2.svs
43,S-2006-005094_PAS_1of2_64552733435c92704a3d3803.png,1,S-2006-005094_PAS_1of2.svs
44,S-2008-000353_PAS_2of2_64552738435c92704a3d4159.png,0,S-2008-000353_PAS_2of2.svs
45,S-2008-000353_PAS_2of2_64552738435c92704a3d4158.png,0,S-2008-000353_PAS_2of2.svs
46,S-2008-000353_PAS_2of2_64552738435c92704a3d415f.png,0,S-2008-000353_PAS_2of2.svs
47,S-2008-000353_PAS_2of2_64552738435c92704a3d415d.png,0,S-2008-000353_PAS_2of2.svs
48,S-2008-000353_PAS_2of2_64552738435c92704a3d4157.png,0,S-2008-000353_PAS_2of2.svs
49,S-2008-000353_PAS_2of2_64552738435c92704a3d4161.png,0,S-2008-000353_PAS_2of2.svs
50,S-2008-000353_PAS_2of2_64552738435c92704a3d415c.png,0,S-2008-000353_PAS_2of2.svs
51,S-2008-000353_PAS_2of2_64552738435c92704a3d4154.png,0,S-2008-000353_PAS_2of2.svs
52,S-2008-000353_PAS_2of2_64552738435c92704a3d4163.png,0,S-2008-000353_PAS_2of2.svs
53,S-2008-000353_PAS_2of2_64552738435c92704a3d4166.png,0,S-2008-000353_PAS_2of2.svs
54,S-2008-000353_PAS_2of2_64552738435c92704a3d4162.png,0,S-2008-000353_PAS_2of2.svs
55,S-2008-000353_PAS_2of2_64552738435c92704a3d4165.png,0,S-2008-000353_PAS_2of2.svs
56,S-2008-000353_PAS_2of2_64552738435c92704a3d4164.png,0,S-2008-000353_PAS_2of2.svs
57,S-2008-000353_PAS_2of2_64552738435c92704a3d4169.png,1,S-2008-000353_PAS_2of2.svs
58,S-2008-000353_PAS_2of2_64552738435c92704a3d416a.png,1,S-2008-000353_PAS_2of2.svs
59,S-2008-000353_PAS_2of2_64552738435c92704a3d416b.png,1,S-2008-000353_PAS_2of2.svs
60,S-2008-000353_PAS_2of2_64552738435c92704a3d416c.png,1,S-2008-000353_PAS_2of2.svs
61,S-2008-000353_PAS_2of2_64552738435c92704a3d416e.png,1,S-2008-000353_PAS_2of2.svs
62,S-2008-000354_PAS_1of2_6455273e435c92704a3d4dd9.png,0,S-2008-000354_PAS_1of2.svs
63,S-2008-000354_PAS_1of2_6455273e435c92704a3d4dda.png,0,S-2008-000354_PAS_1of2.svs
64,S-2008-000354_PAS_1of2_6455273e435c92704a3d4ddb.png,0,S-2008-000354_PAS_1of2.svs
65,S-2008-000354_PAS_1of2_6455273e435c92704a3d4ddc.png,0,S-2008-000354_PAS_1of2.svs
66,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de0.png,0,S-2008-000354_PAS_1of2.svs
67,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de1.png,0,S-2008-000354_PAS_1of2.svs
68,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de2.png,0,S-2008-000354_PAS_1of2.svs
69,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de3.png,0,S-2008-000354_PAS_1of2.svs
70,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de4.png,0,S-2008-000354_PAS_1of2.svs
71,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de5.png,0,S-2008-000354_PAS_1of2.svs
72,S-2008-000354_PAS_1of2_6455273e435c92704a3d4de8.png,0,S-2008-000354_PAS_1of2.svs
